stage,seed,suite,model,modes,rho,n_samples,relative_l2_mean,relative_l2_median,mae_mean,mae_median,linf_mean,linf_median,interface_mae_mean,interface_mae_median,far_field_mae_mean,far_field_mae_median,jump_amplitude_error_mean,jump_amplitude_error_median,overshoot_mean,overshoot_median,spurious_jump_error_mean,spurious_jump_error_median,total_variation_error_mean,total_variation_error_median
A,0,false_interface,plain,8,0.0,24,0.000926105461970262,0.0009261054619702786,0.00022637683063954646,0.00026753876038482227,0.00022637683063954646,0.00026753876038482227,0.0002222011895678651,0.000264135427245904,0.00022637683063954646,0.00026753876038482227,0.0,0.0,0.0002222011895678651,0.000264135427245904,0.0,0.0,0.0,0.0
A,0,iid,hidden_width_2,8,0.0,32,0.21789676811901537,0.22216917289822893,0.056020029597260435,0.06075378667580074,0.3501941006728544,0.3465795075927133,0.171207595487868,0.17450658894354365,0.030356232673332362,0.03067638142459881,0.5826956032808536,0.6027126128661184,0.10604627832534541,0.10984513570614005,0.7185799351915849,0.7764105393388736,0.6079111413945416,0.6157488515995572
A,0,endpoint_continuous,hidden_width_2,8,0.0,24,0.0009261054619702395,0.0009261054619702431,0.0004780958343521275,0.0005163699514441622,0.0004780958343521275,0.0005163699514441622,nan,nan,0.0004780958343521275,0.0005163699514441622,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,hidden_width_2,8,0.0,24,0.2942134079568211,0.22095177037601027,0.05730450346622851,0.06215333955930877,0.33361361648703475,0.3669516037298961,0.1811992735201039,0.18511658809255682,0.0318513538178254,0.032458577268356686,0.618049155623923,0.6456378653674906,0.10711716302555284,0.10856014342233944,0.7597552754510816,0.7791110973632127,0.632710003969021,0.5842673748164408
A,0,false_interface,hidden_width_2,8,0.0,24,0.000926105461970262,0.0009261054619702786,0.00022637683063954646,0.00026753876038482227,0.00022637683063954646,0.00026753876038482227,0.0002222011895678651,0.000264135427245904,0.00022637683063954646,0.00026753876038482227,0.0,0.0,0.0002222011895678651,0.000264135427245904,0.0,0.0,0.0,0.0
A,0,iid,two_channel_fno,8,0.0,32,0.2182173368261766,0.2221415183337474,0.05632079209212547,0.06057956022395967,0.3505821811634321,0.35162056102434214,0.17145125765777122,0.17553118665772266,0.03064247944763792,0.029830250513298445,0.5831988180179155,0.6065017969977997,0.10584399403734022,0.10410486382772137,0.7174307494503275,0.7750661726482599,0.612532656998377,0.6177102147768174
A,0,endpoint_continuous,two_channel_fno,8,0.0,24,0.03930960393828762,0.002426640256720204,0.0010796193633098524,0.0011561666569457757,0.0010796193633098524,0.0011561666569457757,nan,nan,0.0010796193633098524,0.0011561666569457757,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,two_channel_fno,8,0.0,24,0.3023795708382712,0.22065739829901593,0.05755989238852569,0.06222373647455889,0.33481230317979854,0.3682773126493296,0.18157056436255015,0.18690737873293242,0.03200449434470359,0.03277530076944389,0.6189915477370748,0.6518736434781062,0.10661091114463268,0.1059545836592608,0.767910734622367,0.7798233579002948,0.6355714690955075,0.5990011792900126
A,0,false_interface,two_channel_fno,8,0.0,24,0.06452742618892754,0.012962118299526534,0.0024871229317947256,0.0022467166826917345,0.006090282464745335,0.006224520869353156,0.0032084338257670894,0.0032430184655794195,0.0023197998607144645,0.002186132253883418,0.0036284499308195397,0.003060292567175882,0.005924538171878271,0.005769178646438777,0.0692964653781698,0.014096378227004599,0.045113457509724876,0.03953346545062121
A,0,iid,shared,8,0.0,32,0.1035365324468358,0.10768665189020707,0.02766788461021302,0.03071110005238621,0.22902634786309858,0.2551492628631351,0.08369357084537099,0.08246601853083055,0.01514074088520696,0.014689551917261425,0.28197294673135337,0.2886206312799249,0.05720797220598802,0.05318280679419374,0.30658110239604996,0.3682572996885246,0.27779077070065383,0.2761112678443114
A,0,endpoint_continuous,shared,8,0.0,24,0.04836281455568312,0.04836281455568312,0.024966983919332133,0.026965723915169992,0.024966983919332133,0.026965723915169992,nan,nan,0.024966983919332133,0.026965723915169992,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,shared,8,0.0,24,0.0996316702374954,0.10565756636655399,0.02818741061547192,0.031007916603316872,0.23267202632499087,0.2519837160713605,0.08872340165413511,0.09271096849444116,0.015616061777989266,0.015261789039998069,0.3032052997201866,0.3189017743724587,0.05547181831404674,0.052096280846820386,0.2896730192048759,0.36915345875733874,0.2844901258550181,0.2632161147488553
A,0,false_interface,shared,8,0.0,24,0.09559720790070186,0.1084037325187274,0.013358211080203145,0.01310952160978359,0.08195976031915315,0.08495854641168385,0.0389409430890017,0.04628031469856764,0.007307337523937301,0.008108790522702167,0.007668254691556004,0.004990569843101811,0.09328687874376018,0.11616320020446008,0.16964190815996816,0.19517386371567733,0.279492494879077,0.27714282856074923
A,0,iid,shared_learnable_rho,8,0.007465560653954272,32,0.10392754408604202,0.1084988990582935,0.02786198670311677,0.030916450931118344,0.2296864301328956,0.25587073360117774,0.08433183347548712,0.08308304875900172,0.015238599501975293,0.014859715328150728,0.2843438056704704,0.2907446440483334,0.05735428754813787,0.05348540860325868,0.3088338248103366,0.37138502941395835,0.2793287048206408,0.27668162004294816
A,0,endpoint_continuous,shared_learnable_rho,8,0.007465560653954272,24,0.04834919206175558,0.04834919206175559,0.02495995139672245,0.02695812840168177,0.02495995139672245,0.02695812840168177,nan,nan,0.02495995139672245,0.02695812840168177,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,shared_learnable_rho,8,0.007465560653954272,24,0.10073452399675531,0.10641591520469386,0.02838605227186919,0.03118592413103121,0.2332812309733782,0.2525516793770938,0.08941840627236361,0.09346215258238916,0.01571220617211992,0.015326229612060857,0.30560684266317617,0.32167388697963184,0.05571622495921863,0.05237948956502936,0.2930553576557645,0.3721421254300278,0.2866929167579521,0.2656627154066695
A,0,false_interface,shared_learnable_rho,8,0.007465560653954272,24,0.0948207217168764,0.10743514038640606,0.013250962438505438,0.01301421449221369,0.08126745791954659,0.08423020417605283,0.03859484630999445,0.04587644256427956,0.0072537856444222495,0.00815330787834173,0.007596585788319697,0.005002630112149187,0.0924859191817518,0.1150757998551108,0.16845611513834788,0.19387029700343666,0.27741806638188876,0.2751986745693654
A,0,iid,dual,8,0.0,32,0.09878055139017786,0.07949752074178555,0.022342900216825085,0.02054281497677954,0.19402811223536343,0.20681117421173867,0.06332313162221843,0.05413783549462657,0.012991428508417302,0.010872932238819154,0.14365575978278725,0.1477186304414907,0.06484119093239542,0.04983454582233665,0.20829521210701285,0.18751014402845417,0.30524800201301294,0.2345059897240177
A,0,endpoint_continuous,dual,8,0.0,24,0.03736857244776325,0.03736857244776326,0.019291278970488865,0.02083564856570158,0.019291278970488865,0.02083564856570158,nan,nan,0.019291278970488865,0.02083564856570158,nan,nan,nan,nan,0.0,0.0,0.0,0.0
A,0,offgrid,dual,8,0.0,24,0.13425878883559147,0.08152739101880127,0.02354359797466025,0.0225019720743195,0.19632131128170027,0.2108055751866886,0.0710482651329093,0.07004926622060004,0.013612916672120187,0.011686864633252705,0.15698625831615107,0.15857930910934648,0.06669497893284895,0.053485334459350775,0.22744117576908252,0.1906267196155966,0.3253666957013382,0.2711697229228983
A,0,false_interface,dual,8,0.0,24,0.1433473543377471,0.16440893921734095,0.019775980206212674,0.019843868165991117,0.12228614716328683,0.12807168578848926,0.0587633241054679,0.07010044006751172,0.010615103775794868,0.010108934801565632,0.008097811293496411,0.0030856149478311126,0.1398416809220072,0.17415046423449293,0.26046652205993803,0.2982840928724627,0.4229412130405086,0.4289285468402143
